x,y
1222,1270
1958,167
43,223
1148,1277
176,422
1243,579
873,1633
1259,1758
292,3
499,692
1955,263
550,30
733,995
1661,1824
892,1932
1306,163
529,611
686,579
1738,1618
1807,861
683,320
41,1957
318,498
211,1810
665,1857
1434,596
1741,1839
1278,1577
795,313
1045,1563
1111,1866
546,646
1309,188
1267,1165
1053,1659
140,1141
1875,791
97,1427
1490,692
465,719
1592,1958
1961,1005
1049,1669
1226,504
580,1289
90,261
782,1958
1673,509
1437,1173
258,764
273,1921
140,961
989,1906
710,978
551,1323
96,1771
992,1447
720,1134
209,1039
1385,115
680,1258
1167,1158
819,504
805,919
606,442
623,581
1690,9
157,1244
1202,1879
1120,1321
1876,426
1149,1128
992,923
1173,1040
923,1822
1158,1509
887,1113
920,80
